seed,year,pop_peak,deaths,immigrants,events,food_avg,food_min,food_max,wood_avg,wood_min,wood_max,houses,farms,lumbers,garnaries,roads,bridges
123,1,16,0,0,0,78.56,78.56,78.56,29.84,29.84,29.84,4,0,0,0,19,0
123,1,16,0,0,0,18.34,0.0,78.56,10.11,0.0,29.84,5,1,2,0,33,2
123,2,16,0,0,0,18.9,0.0,62.93,3.82,0.0,9.25,5,3,4,0,53,3
123,3,16,0,0,0,67.39,7.93,155.09,9.22,0.0,17.32,5,4,4,0,58,3
123,4,18,0,2,0,152.01,96.69,222.79,26.12,16.12,33.88,5,4,4,2,62,3
123,5,18,0,0,0,216.02,160.48,300.04,43.08,25.3,55.54,5,4,4,2,62,3
123,6,20,0,2,0,269.22,235.22,316.05,64.39,52.17,74.6,6,4,4,2,62,3
123,7,23,0,3,0,247.29,216.49,306.57,82.57,69.2,92.75,7,4,4,2,64,3
123,8,27,0,4,1,201.6,132.76,226.56,97.66,81.57,109.67,7,4,4,2,64,3
123,9,28,1,1,0,110.32,58.64,148.46,105.42,96.25,113.55,8,4,4,2,65,3
123,10,27,4,2,0,77.36,14.34,172.06,103.33,98.62,108.43,8,6,4,2,68,3
123,11,26,5,3,0,141.52,72.02,245.07,108.99,98.32,116.55,8,6,4,2,68,3
123,12,26,0,3,0,243.46,168.06,342.8,112.42,98.72,119.68,8,6,4,3,68,3
123,13,26,3,0,0,282.57,220.15,382.82,110.96,98.2,120.38,8,6,4,3,68,3
123,14,24,4,3,0,335.38,291.03,407.22,125.96,111.76,134.94,8,6,4,3,68,3
123,15,23,1,1,0,370.02,312.78,452.61,145.42,130.6,155.16,8,6,4,3,68,3
123,16,22,1,0,0,379.13,325.92,455.99,164.13,149.82,174.83,8,6,4,3,68,3
123,17,21,2,0,0,379.4,334.16,447.88,191.31,171.75,203.23,8,6,4,3,68,3
123,18,19,1,0,1,389.83,348.18,436.09,218.93,202.1,228.76,8,5,4,3,68,3
123,19,19,3,2,0,386.08,342.0,452.25,242.21,225.32,250.05,8,5,4,3,68,3
123,20,17,3,1,1,386.35,347.97,446.23,252.73,242.13,261.29,8,4,4,3,68,3
123,21,15,3,0,0,383.74,356.34,425.39,283.3,259.83,300.18,8,4,4,3,68,3
123,22,13,5,2,0,393.08,359.95,443.73,319.97,299.1,337.73,8,4,4,3,68,3
123,23,10,1,1,0,407.35,370.21,457.56,361.32,337.21,382.14,8,4,4,3,68,3
123,24,9,1,0,0,397.18,373.71,445.0,407.86,382.02,430.42,8,4,4,3,68,3
123,25,9,1,1,0,401.38,372.58,441.43,454.5,430.38,474.41,8,4,4,3,68,3
123,26,9,0,1,0,406.95,370.56,454.83,498.91,473.93,519.75,8,4,4,3,68,3
123,27,9,1,1,0,408.52,375.4,456.16,541.76,519.83,556.24,8,4,4,3,68,3
123,28,18,1,10,0,391.93,349.47,425.19,567.94,555.61,573.88,8,4,4,3,68,3
123,29,19,0,1,0,367.54,339.4,415.48,572.14,567.76,575.28,8,4,4,3,68,3
123,30,19,2,1,0,334.93,312.15,364.01,583.28,570.05,591.29,8,4,4,3,68,3
123,31,19,0,1,0,293.73,270.92,326.72,605.99,589.1,619.14,8,4,4,3,68,3
123,32,20,2,1,0,265.52,241.58,296.82,631.43,614.03,643.69,8,4,4,3,68,3
123,33,19,0,1,0,240.16,206.48,295.48,658.55,641.11,669.06,8,4,4,3,68,3
123,34,22,0,3,0,274.84,229.69,344.36,678.94,664.94,689.61,8,4,4,3,68,3
123,35,22,2,0,0,301.06,258.64,366.92,697.97,683.13,709.89,8,4,4,3,68,3
123,36,22,0,2,0,317.84,281.24,374.67,722.32,706.09,732.89,8,4,4,3,68,3
123,37,26,0,4,0,310.89,272.08,357.28,740.65,728.67,748.8,8,4,4,3,68,3
123,38,30,1,5,0,251.64,199.88,301.88,754.32,741.36,764.68,8,4,4,3,68,3
123,39,30,3,0,0,140.16,71.33,196.48,759.68,751.99,766.27,8,4,4,3,68,3
123,40,27,3,1,0,68.27,35.88,135.78,746.12,729.52,753.97,8,6,4,3,78,3
123,41,26,4,3,0,86.7,43.78,150.27,728.49,726.25,731.36,8,6,4,3,78,3
123,42,24,3,3,0,141.84,57.95,251.19,742.36,725.69,754.0,8,6,4,3,78,3
123,43,26,2,3,0,228.54,158.14,329.49,757.5,749.02,764.04,8,6,4,3,78,3
123,44,26,1,2,0,299.88,233.51,390.96,767.62,756.99,774.57,8,6,4,3,78,3
123,45,26,3,0,0,346.84,282.31,435.97,778.1,763.74,787.15,8,6,4,3,78,3
123,46,23,5,3,0,367.44,317.47,433.27,789.83,778.69,799.99,8,6,4,3,78,3
123,47,23,1,3,0,379.49,332.55,443.86,811.89,797.2,820.1,8,6,4,3,78,3
123,48,25,1,2,0,374.2,326.94,449.37,829.77,816.21,837.6,8,6,4,3,78,3
123,49,26,3,5,0,361.15,318.66,429.06,838.6,830.84,844.02,8,6,4,3,78,3
123,50,28,2,2,0,353.26,302.38,431.99,839.33,832.68,845.15,8,6,4,3,78,3
